Date,Value
2017-02-02,2400828.5
2017-02-01,1817471.16
2017-01-31,1736959.14
2017-01-30,1944065.475
2017-01-29,1787595.6
2017-01-28,1976661.18
2017-01-27,1834109.775
2017-01-26,1721632.5
2017-01-25,1723423.425
2017-01-24,1639777.0
2017-01-23,2002158.0
2017-01-22,2095396.75
2017-01-21,2134044.0
2017-01-20,1969902.99
2017-01-19,1672839.35
2017-01-18,1808883.98
2017-01-17,1769358.15
2017-01-16,1716577.7
2017-01-15,1759417.39
2017-01-14,1577154.54
2017-01-13,1750688.22
2017-01-12,1522759.63
2017-01-11,1842810.36
2017-01-10,1548900.0
2017-01-09,1915883.44
2017-01-08,1583004.57
2017-01-07,1805295.6
2017-01-06,1773876.0
2017-01-05,2308231.5
2017-01-04,2141405.0
2017-01-03,2060337.5
2017-01-02,1961202.6
2017-01-01,1785013.42
2016-12-31,1880751.85
2016-12-30,1831153.28
2016-12-29,2011489.19
2016-12-28,1828791.58
2016-12-27,1610869.18
2016-12-26,1867686.25
2016-12-25,1540552.32
2016-12-24,1720367.4
2016-12-23,1717668.81
2016-12-22,1659583.37
2016-12-21,1380945.27
2016-12-20,1511601.0
2016-12-19,1398471.23
2016-12-18,1439997.29
2016-12-17,1317539.32
2016-12-16,1249509.75
2016-12-15,1354213.25
2016-12-14,1739710.08
2016-12-13,1520295.44
2016-12-12,1520295.44
2016-12-11,1287818.0
2016-12-10,1312529.71
2016-12-09,1516416.0
2016-12-08,1686375.17
2016-12-07,1435055.31
2016-12-06,1450084.71
2016-12-05,1422187.52
2016-12-04,1648884.64
2016-12-03,1419702.79
2016-12-02,1391603.68
2016-12-01,1321104.2
2016-11-30,1388629.47
2016-11-29,1511320.32
2016-11-28,1303985.32
2016-11-27,1424452.54
2016-11-26,1450482.78
2016-11-25,1540282.37
2016-11-24,1371590.0
2016-11-23,1264052.4
2016-11-22,1300552.0
2016-11-21,1177092.75
2016-11-20,1337807.52
2016-11-19,1385428.0
2016-11-18,1467356.7
2016-11-17,1590935.5
2016-11-16,1389794.85
2016-11-15,1523261.75
2016-11-14,1259145.88
2016-11-13,1478735.97
2016-11-12,1459015.6
2016-11-11,1501227.0
2016-11-10,1334964.94
2016-11-09,1507321.19
2016-11-08,1294398.35
2016-11-07,1379564.0
2016-11-06,1325997.44
2016-11-05,1036526.64
2016-11-04,1348852.25
2016-11-03,1230807.01
2016-11-02,1321902.0
2016-11-01,1298202.25
2016-10-31,1487565.84
2016-10-30,1338194.47
2016-10-29,1318835.89
2016-10-28,1402328.39
2016-10-27,1204154.59
2016-10-26,1158039.29
2016-10-25,1173414.58
2016-10-24,1186462.78
2016-10-23,1237419.9
2016-10-22,1302488.0
2016-10-21,1065517.32
2016-10-20,998480.54
2016-10-19,1239301.7
2016-10-18,1001040.49
2016-10-17,1047566.76
2016-10-16,1135929.6
2016-10-15,1090902.33
2016-10-14,1020493.4
