Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
2004-03-04,-2.242,-1.417,-0.864,0.401,0.106,-0.468,-0.513,-1.205,-0.524
2004-03-05,-2.101,-1.319,-0.875,0.555,0.109,-0.571,-0.509,-1.123,-0.469
2004-03-08,-2.03,-1.349,-0.838,0.584,0.074,-0.501,-0.428,-1.106,-0.496
2004-03-09,-1.982,-1.36,-0.793,0.549,0.079,-0.457,-0.379,-1.114,-0.489
2004-03-10,-2.05,-1.488,-0.709,0.481,0.068,-0.402,-0.261,-1.186,-0.603
2004-03-11,-1.446,-1.312,-0.572,0.58,0.064,-0.206,-0.081,-0.921,-0.444
2004-03-12,-1.609,-1.319,-0.604,0.43,0.071,-0.187,-0.268,-0.878,-0.463
2004-03-15,-1.271,-1.33,-0.522,0.499,0.071,0.011,-0.077,-0.732,-0.462
2004-03-16,-1.254,-1.243,-0.539,0.537,0.063,-0.072,-0.11,-0.75,-0.394
2004-03-17,-1.547,-1.286,-0.633,0.57,0.067,-0.265,-0.241,-0.864,-0.442
2004-03-18,-1.365,-1.331,-0.599,0.696,0.055,-0.186,-0.191,-0.724,-0.45
2004-03-19,-1.41,-1.358,-0.551,0.642,0.06,-0.203,-0.156,-0.781,-0.473
2004-03-22,-0.969,-1.312,-0.441,0.717,0.051,0.016,0.025,-0.56,-0.434
2004-03-23,-1.035,-1.313,-0.431,0.729,0.054,-0.074,-0.001,-0.609,-0.425
2004-03-24,-1.16,-1.28,-0.422,0.597,0.057,-0.112,-0.069,-0.666,-0.425
2004-03-25,-1.422,-1.294,-0.525,0.581,0.028,-0.212,-0.226,-0.772,-0.424
2004-03-26,-1.529,-1.339,-0.545,0.598,0.036,-0.279,-0.208,-0.882,-0.439
2004-03-29,-1.731,-1.364,-0.601,0.564,0.003,-0.333,-0.306,-0.971,-0.454
2004-03-30,-1.702,-1.411,-0.61,0.59,0.024,-0.295,-0.305,-0.929,-0.468
2004-03-31,-1.347,-1.373,-0.366,0.69,0.02,-0.318,-0.072,-0.821,-0.454
2004-04-01,-1.515,-1.473,-0.399,0.699,-0.022,-0.32,-0.073,-0.938,-0.504
2004-04-02,-1.904,-1.576,-0.473,0.495,-0.008,-0.342,-0.207,-1.146,-0.551
2004-04-05,-2.013,-1.541,-0.529,0.378,0.057,-0.378,-0.237,-1.218,-0.558
2004-04-06,-1.971,-1.522,-0.522,0.46,0.044,-0.431,-0.229,-1.204,-0.538
2004-04-07,-1.808,-1.534,-0.479,0.531,0.052,-0.378,-0.156,-1.114,-0.538
2004-04-08,-1.967,-1.566,-0.487,0.446,0.031,-0.391,-0.19,-1.23,-0.547
2004-04-12,-2.026,-1.593,-0.496,0.431,0.041,-0.409,-0.274,-1.18,-0.572
2004-04-13,-2.192,-1.639,-0.46,0.241,0.007,-0.341,-0.256,-1.312,-0.624
2004-04-14,-2.261,-1.645,-0.416,0.165,-0.011,-0.354,-0.337,-1.284,-0.64
2004-04-15,-2.058,-1.552,-0.376,0.167,0.024,-0.321,-0.315,-1.194,-0.549
2004-04-16,-2.137,-1.533,-0.406,0.187,0.049,-0.434,-0.34,-1.269,-0.528
2004-04-19,-2.128,-1.561,-0.402,0.198,0.053,-0.416,-0.317,-1.247,-0.564
2004-04-20,-2.258,-1.57,-0.372,0.056,0.041,-0.413,-0.274,-1.403,-0.581
2004-04-21,-2.158,-1.501,-0.366,-0.01,0.075,-0.356,-0.317,-1.321,-0.52
2004-04-22,-2.262,-1.499,-0.43,0.037,0.082,-0.452,-0.401,-1.372,-0.489
2004-04-23,-2.475,-1.613,-0.453,0.02,0.052,-0.481,-0.499,-1.44,-0.536
2004-04-26,-2.371,-1.588,-0.441,0.069,0.05,-0.461,-0.414,-1.43,-0.527
2004-04-27,-2.193,-1.521,-0.429,0.112,0.074,-0.429,-0.337,-1.4,-0.456
2004-04-28,-2.047,-1.451,-0.334,-0.045,0.052,-0.269,-0.313,-1.323,-0.411
2004-04-29,-1.841,-1.373,-0.278,0.026,0.022,-0.238,-0.297,-1.191,-0.353
2004-04-30,-1.756,-1.356,-0.198,0.006,0.037,-0.245,-0.259,-1.162,-0.335
2004-05-03,-1.794,-1.324,-0.241,-0.013,0.035,-0.251,-0.312,-1.176,-0.306
2004-05-04,-1.679,-1.276,-0.253,0.113,0.032,-0.295,-0.273,-1.137,-0.269
2004-05-05,-1.689,-1.251,-0.265,0.157,0.015,-0.345,-0.274,-1.156,-0.259
2004-05-06,-1.371,-1.13,-0.184,0.06,0.011,-0.128,-0.15,-1.038,-0.183
2004-05-07,-1.539,-1.112,-0.11,-0.132,-0.07,-0.115,-0.333,-1.043,-0.163
2004-05-10,-0.812,-0.908,0.068,-0.149,0.017,0.16,-0.12,-0.666,-0.026
2004-05-11,-0.929,-0.958,0.018,-0.144,0.04,0.115,-0.161,-0.687,-0.081
2004-05-12,-1.055,-1.006,-0.003,-0.129,-0.013,0.096,-0.224,-0.7,-0.131
2004-05-13,-1.02,-0.957,0.026,-0.211,-0.036,0.158,-0.251,-0.638,-0.131
2004-05-14,-0.959,-0.938,0.045,-0.16,-0.024,0.118,-0.22,-0.603,-0.136
2004-05-17,-0.535,-0.911,0.171,-0.057,-0.032,0.294,-0.06,-0.363,-0.112
2004-05-18,-0.922,-0.981,0.099,-0.106,-0.036,0.102,-0.168,-0.598,-0.156
2004-05-19,-1.108,-1.098,0.032,-0.023,-0.046,0.027,-0.17,-0.721,-0.217
2004-05-20,-0.977,-0.988,0.06,-0.072,-0.028,0.051,-0.18,-0.656,-0.141
2004-05-21,-1.079,-1.034,0.017,-0.017,-0.044,-0.001,-0.195,-0.711,-0.173
2004-05-24,-1.106,-1.084,-0.002,-0.002,-0.028,0.01,-0.219,-0.698,-0.189
2004-05-25,-1.236,-1.107,-0.033,0.072,-0.021,-0.147,-0.305,-0.73,-0.201
2004-05-26,-1.286,-1.07,-0.082,0.078,-0.016,-0.196,-0.285,-0.813,-0.188
2004-05-27,-1.265,-1.045,-0.123,0.243,-0.074,-0.266,-0.329,-0.784,-0.152
2004-05-28,-1.48,-1.124,-0.13,0.206,-0.117,-0.315,-0.402,-0.884,-0.194
2004-06-01,-1.289,-1.093,-0.119,0.208,-0.101,-0.184,-0.335,-0.758,-0.196
2004-06-02,-1.395,-1.123,-0.131,0.178,-0.139,-0.18,-0.398,-0.781,-0.216
2004-06-03,-1.202,-1.094,-0.074,0.147,-0.112,-0.069,-0.299,-0.701,-0.202
2004-06-04,-1.554,-1.197,-0.12,0.191,-0.135,-0.293,-0.447,-0.843,-0.264
2004-06-07,-1.65,-1.221,-0.244,0.245,-0.074,-0.356,-0.492,-0.853,-0.305
