Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
2003-07-09,0.06,-0.528,-0.597,0.754,0.232,0.199,0.511,-0.303,-0.148
2003-07-10,0.1,-0.528,-0.526,0.777,0.217,0.16,0.557,-0.313,-0.144
2003-07-11,-0.063,-0.528,-0.559,0.695,0.217,0.112,0.5,-0.423,-0.14
2003-07-14,-0.152,-0.545,-0.615,0.699,0.224,0.085,0.454,-0.46,-0.146
2003-07-15,-0.343,-0.623,-0.588,0.466,0.236,0.166,0.381,-0.55,-0.174
2003-07-16,-0.085,-0.607,-0.552,0.536,0.29,0.248,0.545,-0.463,-0.167
2003-07-17,-0.023,-0.661,-0.474,0.548,0.278,0.286,0.532,-0.385,-0.17
2003-07-18,-0.091,-0.648,-0.522,0.604,0.277,0.198,0.448,-0.375,-0.164
2003-07-21,0.152,-0.694,-0.447,0.691,0.283,0.319,0.592,-0.284,-0.156
2003-07-22,0.051,-0.711,-0.492,0.634,0.306,0.314,0.599,-0.387,-0.161
2003-07-23,0.201,-0.672,-0.496,0.874,0.296,0.199,0.644,-0.331,-0.112
2003-07-24,0.131,-0.738,-0.499,0.889,0.298,0.181,0.672,-0.437,-0.104
2003-07-25,0.121,-0.679,-0.556,0.927,0.305,0.124,0.612,-0.384,-0.107
2003-07-28,0.162,-0.745,-0.579,0.911,0.332,0.243,0.71,-0.447,-0.101
2003-07-29,0.287,-0.716,-0.541,0.793,0.36,0.391,0.85,-0.451,-0.112
2003-07-30,0.195,-0.678,-0.529,0.634,0.335,0.433,0.861,-0.537,-0.129
2003-07-31,0.219,-0.634,-0.543,0.494,0.304,0.598,0.92,-0.568,-0.133
2003-08-01,0.334,-0.564,-0.497,0.406,0.216,0.773,1.001,-0.512,-0.155
2003-08-04,0.661,-0.51,-0.463,0.552,0.252,0.83,1.062,-0.276,-0.125
2003-08-05,0.696,-0.543,-0.405,0.566,0.248,0.83,1.086,-0.259,-0.131
2003-08-06,0.817,-0.457,-0.385,0.548,0.301,0.81,1.081,-0.153,-0.111
2003-08-07,0.672,-0.456,-0.415,0.616,0.311,0.616,0.925,-0.129,-0.124
2003-08-08,0.538,-0.471,-0.449,0.602,0.288,0.568,0.905,-0.242,-0.125
2003-08-11,0.586,-0.518,-0.479,0.687,0.27,0.626,0.974,-0.285,-0.103
2003-08-12,0.346,-0.509,-0.533,0.57,0.267,0.551,0.855,-0.385,-0.124
2003-08-13,0.525,-0.532,-0.525,0.599,0.265,0.718,1.032,-0.397,-0.11
2003-08-14,0.392,-0.532,-0.582,0.605,0.275,0.626,1.026,-0.535,-0.099
2003-08-15,0.338,-0.513,-0.582,0.564,0.312,0.557,0.972,-0.523,-0.111
2003-08-18,0.022,-0.539,-0.643,0.392,0.328,0.484,0.796,-0.633,-0.141
2003-08-19,-0.135,-0.561,-0.663,0.469,0.252,0.368,0.665,-0.671,-0.129
2003-08-20,-0.109,-0.609,-0.647,0.51,0.244,0.393,0.701,-0.692,-0.118
2003-08-21,-0.359,-0.676,-0.679,0.272,0.306,0.418,0.636,-0.839,-0.156
2003-08-22,-0.338,-0.659,-0.637,0.276,0.253,0.429,0.641,-0.832,-0.147
2003-08-25,-0.306,-0.696,-0.626,0.242,0.321,0.453,0.647,-0.795,-0.158
2003-08-26,-0.22,-0.691,-0.625,0.307,0.318,0.471,0.654,-0.731,-0.143
2003-08-27,-0.222,-0.73,-0.635,0.397,0.327,0.419,0.629,-0.736,-0.115
2003-08-28,-0.347,-0.723,-0.655,0.369,0.3,0.362,0.572,-0.798,-0.121
2003-08-29,-0.245,-0.759,-0.66,0.525,0.301,0.348,0.604,-0.764,-0.085
2003-09-02,-0.509,-0.851,-0.769,0.327,0.291,0.493,0.469,-0.853,-0.125
2003-09-03,-0.573,-0.876,-0.811,0.376,0.296,0.442,0.444,-0.895,-0.122
2003-09-04,-0.586,-0.876,-0.805,0.434,0.298,0.363,0.448,-0.906,-0.128
2003-09-05,-0.352,-0.808,-0.767,0.639,0.278,0.306,0.541,-0.781,-0.112
2003-09-08,-0.479,-0.831,-0.814,0.563,0.291,0.312,0.468,-0.817,-0.13
2003-09-09,-0.182,-0.825,-0.774,0.745,0.292,0.38,0.588,-0.68,-0.09
2003-09-10,-0.123,-0.792,-0.705,0.702,0.302,0.37,0.638,-0.658,-0.103
2003-09-11,-0.219,-0.853,-0.705,0.679,0.301,0.359,0.577,-0.685,-0.111
2003-09-12,-0.182,-0.777,-0.712,0.667,0.286,0.354,0.592,-0.641,-0.133
2003-09-15,-0.268,-0.818,-0.697,0.636,0.276,0.335,0.598,-0.729,-0.137
2003-09-16,-0.504,-0.847,-0.782,0.557,0.288,0.28,0.468,-0.83,-0.142
2003-09-17,-0.394,-0.825,-0.776,0.696,0.282,0.229,0.513,-0.779,-0.128
2003-09-18,-0.595,-0.869,-0.838,0.666,0.288,0.158,0.411,-0.876,-0.13
2003-09-19,-0.406,-0.87,-0.801,0.865,0.276,0.124,0.483,-0.778,-0.111
2003-09-22,0.122,-0.838,-0.685,1.03,0.227,0.388,0.621,-0.415,-0.084
2003-09-23,0.047,-0.817,-0.7,0.969,0.23,0.365,0.582,-0.444,-0.091
2003-09-24,0.293,-0.82,-0.618,1.074,0.227,0.43,0.742,-0.373,-0.076
2003-09-25,0.453,-0.817,-0.559,1.04,0.279,0.51,0.809,-0.267,-0.089
2003-09-26,0.438,-0.798,-0.519,0.981,0.256,0.518,0.815,-0.274,-0.103
2003-09-29,0.491,-0.794,-0.538,1.095,0.244,0.484,0.775,-0.185,-0.099
2003-09-30,0.849,-0.743,-0.361,1.137,0.247,0.569,0.968,-0.05,-0.069
2003-10-01,0.686,-0.747,-0.497,1.173,0.25,0.507,0.869,-0.101,-0.082
2003-10-02,0.55,-0.819,-0.529,1.107,0.233,0.558,0.847,-0.195,-0.102
2003-10-03,0.015,-0.875,-0.61,0.78,0.234,0.486,0.639,-0.447,-0.177
2003-10-06,0.188,-0.821,-0.622,0.914,0.239,0.478,0.654,-0.3,-0.166
2003-10-07,0.23,-0.871,-0.631,0.99,0.232,0.51,0.623,-0.231,-0.162
2003-10-08,0.253,-0.887,-0.593,0.992,0.274,0.467,0.638,-0.204,-0.181
2003-10-09,-0.008,-0.931,-0.64,0.878,0.287,0.398,0.55,-0.349,-0.209
2003-10-10,0.041,-0.919,-0.643,0.957,0.29,0.356,0.562,-0.326,-0.195
2003-10-13,-0.123,-0.946,-0.697,0.912,0.29,0.318,0.493,-0.425,-0.191
2003-10-14,-0.149,-0.978,-0.715,0.915,0.283,0.346,0.422,-0.37,-0.201
2003-10-15,-0.324,-1.038,-0.712,0.777,0.288,0.361,0.378,-0.489,-0.213
2003-10-16,-0.442,-1.047,-0.727,0.717,0.279,0.336,0.346,-0.559,-0.229
2003-10-17,-0.278,-1.034,-0.68,0.768,0.281,0.387,0.438,-0.512,-0.204
2003-10-20,-0.385,-1.063,-0.708,0.751,0.294,0.341,0.422,-0.612,-0.195
2003-10-21,-0.284,-1.03,-0.703,0.864,0.313,0.272,0.432,-0.551,-0.165
2003-10-22,0.104,-0.989,-0.602,1.059,0.316,0.32,0.633,-0.4,-0.129
2003-10-23,0.112,-0.995,-0.545,1.001,0.312,0.339,0.605,-0.363,-0.13
2003-10-24,0.189,-0.953,-0.522,1.067,0.31,0.287,0.636,-0.34,-0.107
2003-10-27,0.1,-0.973,-0.55,1.024,0.329,0.27,0.622,-0.411,-0.111
2003-10-28,-0.226,-0.965,-0.636,0.907,0.306,0.162,0.483,-0.575,-0.134
2003-10-29,-0.324,-1.007,-0.668,0.926,0.314,0.111,0.415,-0.609,-0.13
2003-10-30,-0.486,-1.055,-0.67,0.84,0.287,0.112,0.378,-0.718,-0.146
2003-10-31,-0.521,-1.007,-0.669,0.792,0.293,0.07,0.337,-0.713,-0.145
2003-11-03,-0.887,-1.082,-0.724,0.548,0.292,0.079,0.218,-0.915,-0.19
2003-11-04,-0.764,-1.028,-0.717,0.62,0.304,0.057,0.267,-0.846,-0.185
2003-11-05,-0.768,-1.031,-0.7,0.575,0.322,0.066,0.271,-0.864,-0.175
2003-11-06,-0.903,-1.087,-0.703,0.495,0.316,0.076,0.211,-0.932,-0.182
2003-11-07,-0.791,-1.105,-0.705,0.618,0.326,0.075,0.28,-0.899,-0.172
2003-11-10,-0.748,-1.091,-0.656,0.626,0.31,0.063,0.288,-0.867,-0.169
2003-11-11,-0.65,-1.101,-0.619,0.668,0.319,0.083,0.293,-0.782,-0.161
2003-11-12,-0.627,-1.112,-0.672,0.815,0.315,0.027,0.272,-0.76,-0.139
2003-11-13,-0.501,-1.078,-0.688,0.925,0.332,0.008,0.323,-0.692,-0.132
2003-11-14,-0.334,-1.063,-0.648,1.001,0.337,0.039,0.411,-0.628,-0.117
2003-11-17,-0.162,-1.08,-0.554,0.905,0.325,0.242,0.443,-0.467,-0.138
2003-11-18,0.26,-1.054,-0.524,1.191,0.336,0.311,0.621,-0.251,-0.11
2003-11-19,0.051,-1.082,-0.516,1.013,0.325,0.311,0.502,-0.327,-0.124
2003-11-20,0.186,-1.04,-0.497,1.054,0.328,0.341,0.604,-0.296,-0.122
2003-11-21,0.089,-1.041,-0.507,1.072,0.32,0.245,0.58,-0.369,-0.122
2003-11-24,-0.431,-1.089,-0.598,0.863,0.312,0.081,0.338,-0.627,-0.142
2003-11-25,-0.46,-1.092,-0.614,0.868,0.31,0.068,0.321,-0.637,-0.144
2003-11-26,-0.363,-1.11,-0.639,1.049,0.317,0.02,0.342,-0.579,-0.126
2003-11-28,-0.442,-1.158,-0.63,1.053,0.298,-0.005,0.34,-0.643,-0.139
2003-12-01,-0.458,-1.17,-0.715,1.057,0.288,0.082,0.317,-0.636,-0.139
2003-12-02,-0.35,-1.175,-0.692,1.139,0.309,0.069,0.385,-0.6,-0.135
2003-12-03,-0.427,-1.196,-0.683,1.158,0.312,-0.018,0.368,-0.655,-0.14
2003-12-04,-0.511,-1.231,-0.702,1.118,0.297,0.007,0.322,-0.683,-0.15
2003-12-05,-0.337,-1.174,-0.652,1.247,0.293,-0.051,0.416,-0.621,-0.132
2003-12-08,-0.332,-1.223,-0.642,1.283,0.296,-0.046,0.354,-0.543,-0.143
2003-12-09,-0.336,-1.241,-0.623,1.309,0.292,-0.073,0.39,-0.577,-0.149
2003-12-10,-0.346,-1.193,-0.582,1.227,0.285,-0.083,0.335,-0.529,-0.152
2003-12-11,-0.526,-1.165,-0.651,1.219,0.266,-0.195,0.253,-0.634,-0.145
2003-12-12,-0.427,-1.14,-0.665,1.288,0.265,-0.175,0.255,-0.546,-0.136
2003-12-15,-0.427,-1.159,-0.67,1.31,0.249,-0.157,0.266,-0.553,-0.14
2003-12-16,-0.49,-1.169,-0.666,1.281,0.252,-0.188,0.224,-0.563,-0.151
2003-12-17,-0.356,-1.147,-0.653,1.378,0.248,-0.182,0.251,-0.473,-0.134
2003-12-18,-0.396,-1.136,-0.717,1.37,0.246,-0.159,0.213,-0.46,-0.149
2003-12-19,-0.505,-1.161,-0.734,1.3,0.241,-0.151,0.203,-0.55,-0.158
2003-12-22,-0.479,-1.186,-0.75,1.299,0.247,-0.089,0.233,-0.553,-0.159
2003-12-23,-0.516,-1.183,-0.768,1.282,0.252,-0.099,0.208,-0.567,-0.157
2003-12-24,-0.453,-1.167,-0.762,1.355,0.227,-0.106,0.242,-0.532,-0.163
2003-12-26,-0.498,-1.161,-0.768,1.311,0.203,-0.083,0.222,-0.561,-0.159
2003-12-29,-0.524,-1.166,-0.824,1.349,0.2,-0.083,0.142,-0.505,-0.161
2003-12-30,-0.44,-1.189,-0.845,1.393,0.279,-0.078,0.236,-0.513,-0.163
2003-12-31,-0.351,-1.207,-0.744,1.374,0.278,-0.052,0.328,-0.514,-0.165
2004-01-02,-0.918,-1.559,-0.77,1.259,0.219,-0.067,0.204,-0.6,-0.522
2004-01-05,-0.902,-1.641,-0.845,1.395,0.243,-0.054,0.183,-0.542,-0.543
2004-01-06,-0.931,-1.618,-0.842,1.411,0.24,-0.122,0.132,-0.554,-0.509
2004-01-07,-1.15,-1.628,-0.834,1.325,0.237,-0.25,0.011,-0.632,-0.529
2004-01-08,-1.22,-1.674,-0.877,1.423,0.217,-0.309,-0.008,-0.674,-0.538
2004-01-09,-1.018,-1.602,-0.843,1.485,0.203,-0.261,0.075,-0.575,-0.518
2004-01-12,-1.137,-1.642,-0.856,1.413,0.196,-0.248,0.013,-0.617,-0.533
2004-01-13,-0.973,-1.594,-0.821,1.433,0.189,-0.18,0.071,-0.538,-0.506
2004-01-14,-1.25,-1.571,-0.868,1.315,0.162,-0.288,-0.079,-0.673,-0.498
2004-01-15,-1.483,-1.59,-0.846,1.142,0.169,-0.358,-0.173,-0.778,-0.532
2004-01-16,-1.742,-1.582,-0.907,0.984,0.169,-0.406,-0.292,-0.913,-0.537
2004-01-20,-1.559,-1.605,-0.917,1.124,0.167,-0.328,-0.222,-0.803,-0.534
2004-01-21,-1.668,-1.611,-0.941,1.134,0.163,-0.413,-0.275,-0.859,-0.534
2004-01-22,-1.558,-1.589,-0.922,1.176,0.167,-0.39,-0.22,-0.814,-0.524
2004-01-23,-1.69,-1.593,-0.911,1.068,0.154,-0.408,-0.267,-0.863,-0.56
2004-01-26,-1.78,-1.618,-0.941,0.935,0.168,-0.324,-0.348,-0.861,-0.571
2004-01-27,-1.516,-1.584,-0.895,1.1,0.173,-0.31,-0.189,-0.786,-0.541
2004-01-28,-1.485,-1.609,-0.833,0.983,0.194,-0.22,-0.103,-0.821,-0.561
2004-01-29,-1.409,-1.551,-0.821,0.84,0.202,-0.079,-0.105,-0.784,-0.52
2004-01-30,-1.303,-1.442,-0.79,0.893,0.171,-0.135,-0.13,-0.734,-0.439
2004-02-02,-1.294,-1.37,-0.796,0.819,0.175,-0.122,-0.134,-0.729,-0.431
2004-02-03,-1.154,-1.358,-0.776,0.898,0.176,-0.094,-0.07,-0.651,-0.433
2004-02-04,-1.091,-1.364,-0.709,0.891,0.172,-0.081,-0.025,-0.619,-0.447
2004-02-05,-1.06,-1.347,-0.709,0.841,0.182,-0.027,-0.01,-0.593,-0.457
2004-02-06,-1.009,-1.288,-0.767,0.992,0.172,-0.118,-0.093,-0.511,-0.405
2004-02-09,-1.13,-1.336,-0.771,1.012,0.175,-0.21,-0.09,-0.627,-0.413
2004-02-10,-1.263,-1.388,-0.783,0.987,0.159,-0.238,-0.143,-0.688,-0.432
2004-02-11,-1.321,-1.382,-0.826,1.09,0.152,-0.355,-0.22,-0.684,-0.417
2004-02-12,-1.344,-1.422,-0.811,1.071,0.131,-0.313,-0.242,-0.647,-0.455
2004-02-13,-1.378,-1.393,-0.792,1.01,0.141,-0.344,-0.226,-0.711,-0.441
2004-02-17,-1.453,-1.403,-0.858,1.094,0.138,-0.424,-0.255,-0.759,-0.439
2004-02-18,-1.587,-1.384,-0.829,0.949,0.134,-0.457,-0.305,-0.831,-0.451
2004-02-19,-1.651,-1.387,-0.835,0.94,0.142,-0.511,-0.284,-0.934,-0.433
2004-02-20,-1.848,-1.407,-0.8,0.686,0.143,-0.47,-0.345,-1.016,-0.487
2004-02-23,-1.722,-1.344,-0.799,0.72,0.152,-0.451,-0.308,-0.966,-0.448
2004-02-24,-1.465,-1.305,-0.739,0.84,0.16,-0.421,-0.243,-0.783,-0.439
2004-02-25,-1.677,-1.294,-0.759,0.664,0.172,-0.46,-0.354,-0.868,-0.455
2004-02-26,-1.888,-1.337,-0.778,0.598,0.126,-0.497,-0.426,-0.995,-0.467
2004-02-27,-1.854,-1.324,-0.796,0.64,0.122,-0.496,-0.419,-0.974,-0.461
2004-03-01,-1.956,-1.368,-0.859,0.637,0.129,-0.495,-0.436,-1.047,-0.473
2004-03-02,-2.172,-1.426,-0.85,0.42,0.118,-0.434,-0.47,-1.176,-0.526
2004-03-03,-2.136,-1.421,-0.841,0.423,0.117,-0.414,-0.478,-1.139,-0.519
