"time","timeDate","close","high","low","open","volumefrom","volumeto"
1484352000000,"2017-01-14",44.98,50,43.04,43.04,536,23506.64
1484438400000,"2017-01-15",44.21,45.01,43.4,44.98,411.12,18041.5
1484524800000,"2017-01-16",43.42,50,43.4,44.21,295.52,13199.3
1484611200000,"2017-01-17",45.01,45.87,43.41,43.42,822.61,36696.33
1484697600000,"2017-01-18",43.24,45.01,42.5,45.01,1824.39,79146.73
1484784000000,"2017-01-19",43.99,44.39,43.06,43.24,708.51,31024.36
1484870400000,"2017-01-20",43.28,44.5,43.01,43.99,381.3,16629.87
1484956800000,"2017-01-21",43.26,45,43.07,43.28,716.28,31691.15
1485043200000,"2017-01-22",42.9,44.59,42.9,43.26,1015.21,44429.82
1485129600000,"2017-01-23",42.56,43.98,42.56,42.9,478.65,20649.31
1485216000000,"2017-01-24",41.05,43.9,41.04,42.56,619.72,26092.94
1485302400000,"2017-01-25",39.11,41.11,39.02,41.05,978.79,39847.68
1485388800000,"2017-01-26",37.11,41.97,37.11,39.11,1241.88,48808.37
1485475200000,"2017-01-27",38.81,40.35,37.11,37.11,1378.2,53429.44
1485561600000,"2017-01-28",38,38.81,37.86,38.81,277.7,10660.85
1485648000000,"2017-01-29",38.72,40.9,37.97,38,645.74,25766.51
1485734400000,"2017-01-30",40.3,40.4,38.16,38.72,332.7,12957.36
1485820800000,"2017-01-31",39.72,40.4,38,40.3,1155.03,45378.11
1485907200000,"2017-02-01",39.3,40.13,38.93,39.72,595.53,23628.94
1485993600000,"2017-02-02",39.78,40.39,38.75,39.3,562.07,22134.19
1486080000000,"2017-02-03",38.5,39.78,37.25,39.78,1173.98,44878.69
1486166400000,"2017-02-04",39,39.41,37.86,38.5,571.75,21998.17
1486252800000,"2017-02-05",37.52,39.13,37.52,39,1005.75,38247.92
1486339200000,"2017-02-06",37.1,38,37,37.52,940.45,35037.64
1486425600000,"2017-02-07",36.29,37.1,34.89,37.1,1551.91,55720.59
1486512000000,"2017-02-08",34.56,36.56,34.33,36.29,2578.82,90541.44
1486598400000,"2017-02-09",32.57,35.52,32,34.56,3756.74,126485.24
1486684800000,"2017-02-10",32.51,33.24,32.1,32.57,637.71,20684.64
1486771200000,"2017-02-11",32.58,33.95,32.38,32.51,509.14,16863.2
1486857600000,"2017-02-12",31.04,32.9,31.04,32.58,1393.53,44751.21
1486944000000,"2017-02-13",30.71,31.68,30.03,31.04,2328.92,71070.95
1487030400000,"2017-02-14",33.15,33.15,30.24,30.71,2065.32,64984.83
1487116800000,"2017-02-15",33.67,34.08,31.22,33.15,1613.67,53070.02
1487203200000,"2017-02-16",33,34.35,32.65,33.67,1420.63,47851.85
1487289600000,"2017-02-17",32,33.44,31.63,33,818.32,26490.13
1487376000000,"2017-02-18",30.62,32,30.62,32,1352.25,42454.7
1487462400000,"2017-02-19",30.28,30.84,30.18,30.62,753.76,23201.7
1487548800000,"2017-02-20",31.13,31.53,30.28,30.28,1217.84,37491.09
1487635200000,"2017-02-21",30.21,31.13,22,31.13,1382.35,41514.27
1487721600000,"2017-02-22",27,30.21,27,30.21,2024.43,57749.58
1487808000000,"2017-02-23",30.01,33.01,26.43,27,2832.22,81345.67
1487894400000,"2017-02-24",30.35,32.01,28.01,30.01,1405.57,42702.04
1487980800000,"2017-02-25",29.02,30.72,28.58,30.35,947.68,28238.05
1488067200000,"2017-02-26",29.24,30.01,28.01,29.02,713.26,20994.95
1488153600000,"2017-02-27",36.16,38.94,29.24,29.24,8409.56,286481.88
1488240000000,"2017-02-28",36.87,38.52,34.7,36.16,5950.67,219480.84
1488326400000,"2017-03-01",41.65,42.01,36.87,36.87,4326.38,172455.6
