"time","timeDate","close","high","low","open","volumefrom","volumeto"
1498348800000,"2017-06-25",0.4752,0.5355,0.4505,0.5036,214525,107117.6
1498435200000,"2017-06-26",0.4519,0.4873,0.4003,0.4752,115816,53556.79
1498521600000,"2017-06-27",0.4686,0.4686,0.3878,0.4519,179901,77593.51
1498608000000,"2017-06-28",0.4952,0.5004,0.4366,0.4686,304663,143712.61
1498694400000,"2017-06-29",0.4654,0.5036,0.4532,0.4952,525215,250775.96
1498780800000,"2017-06-30",0.4579,0.4843,0.4507,0.4654,996918,466494.79
1498867200000,"2017-07-01",0.445,0.4655,0.4183,0.4579,590184,264453.76
1498953600000,"2017-07-02",0.4393,0.4545,0.4124,0.445,473354,204775.23
1499040000000,"2017-07-03",0.4694,0.4791,0.4264,0.4393,673823,308798.31
1499126400000,"2017-07-04",0.4953,0.51,0.4673,0.4694,977955,482253.81
1499212800000,"2017-07-05",0.4959,0.5036,0.4556,0.4953,965914,465606.89
1499299200000,"2017-07-06",0.5004,0.5212,0.48,0.4959,1062450,529594.71
1499385600000,"2017-07-07",0.4628,0.5062,0.4526,0.5004,779555,375574.37
1499472000000,"2017-07-08",0.4693,0.4693,0.4288,0.4628,458133,202820.71
1499558400000,"2017-07-09",0.4373,0.4712,0.4306,0.4693,674377,304829.07
1499644800000,"2017-07-10",0.3981,0.4393,0.3818,0.4373,440523,188649.82
1499731200000,"2017-07-11",0.3981,0.3981,0.3981,0.3981,0,0
1499817600000,"2017-07-12",0.3295,0.3972,0.3032,0.3972,585630,187857.85
1499904000000,"2017-07-13",0.3066,0.3358,0.2909,0.3295,1243062,385577.7
1499990400000,"2017-07-14",0.2732,0.3221,0.2599,0.3066,1373166,397920.45
1500076800000,"2017-07-15",0.265,0.2843,0.2543,0.2732,939278,252801.97
1500163200000,"2017-07-16",0.2563,0.2786,0.2317,0.265,1178086,303945
1500249600000,"2017-07-17",0.2951,0.299,0.2528,0.2563,930224,251804.15
1500336000000,"2017-07-18",0.3203,0.341,0.2831,0.2951,491100,149605.88
1500422400000,"2017-07-19",0.294,0.3252,0.294,0.3203,323894,101523.45
1500508800000,"2017-07-20",0.3552,0.3702,0.294,0.294,485524,152303.71
1500595200000,"2017-07-21",0.3495,0.3707,0.3431,0.3552,51987,18480.85
1500681600000,"2017-07-22",0.3953,0.398,0.3495,0.3495,132108,51190.42
1500768000000,"2017-07-23",0.3786,0.4235,0.3616,0.3953,135453,52072.96
1500854400000,"2017-07-24",0.3792,0.3865,0.3599,0.3786,266372,100116.45
1500940800000,"2017-07-25",0.3177,0.3833,0.2526,0.3792,1339607,444605.17
1501027200000,"2017-07-26",0.3344,0.3601,0.2859,0.3177,1438485,464604.7
1501113600000,"2017-07-27",0.3443,0.3483,0.3268,0.3344,1454253,493752.59
1501200000000,"2017-07-28",0.3217,0.3468,0.3089,0.3443,1524318,499020.78
1501286400000,"2017-07-29",0.3225,0.3296,0.2945,0.3217,1215814,379724.45
1501372800000,"2017-07-30",0.3075,0.3307,0.2938,0.3225,1212083,378184.04
1501459200000,"2017-07-31",0.2968,0.3161,0.276,0.3075,1410181,418263.12
1501545600000,"2017-08-01",0.3186,0.334,0.2522,0.2968,1434608,435962.95
1501632000000,"2017-08-02",0.3363,0.3734,0.2919,0.3186,955023,308043.68
